"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","nestedRequestersPassParentIdItemIdRepresentationAndDeleteMode()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.RawRequesterHttpTest","api.requests.skeleton.RawRequesterHttpTest","nestedRequestersPassParentIdItemIdRepresentationAndDeleteMode"
"","1","getAuthSessionWithValidDataAdmin()","","2026-09-14","skipped","2026-09-14","","api.AuthTest","api.AuthTest","getAuthSessionWithValidDataAdmin"
"","0","crudRequesterBuildsAllRequestsAndKeepsNegativeResponseRaw()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.RawRequesterHttpTest","api.requests.skeleton.RawRequesterHttpTest","crudRequesterBuildsAllRequestsAndKeepsNegativeResponseRaw"
"","0","successfulCrudDelegatesValidatesAndExtractsResponses()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","successfulCrudDelegatesValidatesAndExtractsResponses"
"","7618","searchAdminUserReturnsNonEmptyList()","","2026-09-14","broken","2026-09-14","","api.UserTest","api.UserTest","searchAdminUserReturnsNonEmptyList"
"","0","searchRequesterUsesEmptyParamsForListAndFiltersForSearch()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.RawRequesterHttpTest","api.requests.skeleton.RawRequesterHttpTest","searchRequesterUsesEmptyParamsForListAndFiltersForSearch"
"","0","getAuthSessionWithInvalidDataAdmin(String, String)","","2026-09-14","skipped","2026-09-14","","api.AuthTest","api.AuthTest","getAuthSessionWithInvalidDataAdmin"
"","0","successfulSearchAndNestedSearchExtractTypedCollections()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","successfulSearchAndNestedSearchExtractTypedCollections"
"","0","successfulAuthChecksHttpStatusAndAuthenticatedFlag()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","successfulAuthChecksHttpStatusAndAuthenticatedFlag"
"","0","readOptionsRepresentOpenMrsValues()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","readOptionsRepresentOpenMrsValues"
"","0","authRequesterUsesItsOwnContract()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.RawRequesterHttpTest","api.requests.skeleton.RawRequesterHttpTest","authRequesterUsesItsOwnContract"
"","0","successfulAuthRejectsHttpSuccessWithUnauthenticatedSession()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","successfulAuthRejectsHttpSuccessWithUnauthenticatedSession"
"","0","successfulRequesterRejectsUnexpectedStatusWhileRawResponseRemainsAvailable()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","successfulRequesterRejectsUnexpectedStatusWhileRawResponseRemainsAvailable"
"","0","successfulNestedCrudDelegatesValidatesAndExtractsResponses()","","2026-09-14","skipped","2026-09-14","","api.requests.skeleton.SuccessfulRequesterTest","api.requests.skeleton.SuccessfulRequesterTest","successfulNestedCrudDelegatesValidatesAndExtractsResponses"
